texto;classe
O boleto da mensalidade de março veio com valor diferente do contrato;financeiro
O sistema não carrega depois que atualizei o navegador;suporte técnico
Gostaria de um orçamento para 50 licenças do plano empresarial;comercial
Fui cobrado duas vezes no cartão de crédito este mês;financeiro
Aparece erro 500 sempre que tento fazer login no painel;suporte técnico
Quais são as diferenças entre o plano básico e o plano profissional;comercial
Preciso da segunda via da nota fiscal referente ao pedido 4587;financeiro
O aplicativo fecha sozinho ao abrir a tela de relatórios;suporte técnico
Vocês oferecem desconto para instituições de ensino;comercial
Solicito o reembolso do valor pago pelo plano que cancelei;financeiro
Não estou recebendo o e-mail de redefinição de senha;suporte técnico
Tenho interesse em agendar uma demonstração do produto para minha equipe;comercial
O desconto prometido na renovação não apareceu na fatura;financeiro
A integração com a API parou de responder desde ontem à noite;suporte técnico
É possível contratar apenas o módulo de relatórios;comercial
