texto;classe
O boleto da mensalidade de março veio com valor diferente do contrato;financeiro
O sistema não carrega depois que atualizei o navegador;suporte técnico
Gostaria de um orçamento para 50 licenças do plano empresarial;comercial
Fui cobrado duas vezes no cartão de crédito este mês;financeiro
Aparece erro 500 sempre que tento fazer login no painel;suporte técnico
Quais são as diferenças entre o plano básico e o plano profissional;comercial
Preciso da segunda via da nota fiscal referente ao pedido 4587;financeiro
O aplicativo fecha sozinho ao abrir a tela de relatórios;suporte técnico
Vocês oferecem desconto para instituições de ensino;comercial
Solicito o reembolso do valor pago pelo plano que cancelei;financeiro
Não estou recebendo o e-mail de redefinição de senha;suporte técnico
Tenho interesse em agendar uma demonstração do produto para minha equipe;comercial
O desconto prometido na renovação não apareceu na fatura;financeiro
A integração com a API parou de responder desde ontem à noite;suporte técnico
É possível contratar apenas o módulo de relatórios;comercial
Meu pagamento via Pix consta como pendente há três dias;financeiro
Os relatórios exportados em PDF estão saindo em branco;suporte técnico
Quero fazer upgrade do meu plano para incluir mais usuários;comercial
Gostaria de alterar a data de vencimento das minhas faturas para o dia 20;financeiro
Minha conta foi bloqueada após várias tentativas de acesso;suporte técnico
Vocês têm parceria com revendedores na região sul;comercial
A nota fiscal saiu com o CNPJ errado da minha empresa;financeiro
A sincronização com o celular não atualiza os dados cadastrados;suporte técnico
Qual o prazo de implantação para uma empresa com 200 funcionários;comercial
Recebi uma cobrança de juros mesmo tendo pago o boleto em dia;financeiro
O upload de arquivos maiores que 10 MB falha sem mensagem de erro;suporte técnico
Gostaria de saber se existe período de teste gratuito;comercial
Quero parcelar o valor em aberto da última fatura;financeiro
A página de configurações fica carregando infinitamente;suporte técnico
Podem enviar uma proposta comercial para renovação anual do contrato;comercial
